id;start_date;end_date;language
1;2019-06-11T04:00:23;2019-06-10T21:08:40;FRENCH
2;2019-06-11T05:30:28;2019-06-10T14:36:39;FRENCH
3;2019-06-11T01:02:33;2019-06-10T16:26:33;FRENCH
4;2019-06-10T14:14:24;2019-06-10T21:41:26;FRENCH
5;2019-06-10T23:13:03;2019-06-11T03:57:12;FRENCH
6;2019-06-11T05:30:04;2019-06-11T06:47:00;FRENCH
7;2019-06-10T14:52:24;2019-06-11T03:33:11;FRENCH
8;2019-06-10T12:23:42;2019-06-10T20:23:51;FRENCH
9;2019-06-10T22:11:48;2019-06-11T06:36:27;FRENCH
10;2019-06-11T01:29:58;2019-06-10T22:46:13;FRENCH
